
26,27,24,28,10,10,20,9,11,6,0,13,30,27,27,41,34,25,32,29,27,28,25,24,21,28,25,27,18,19,19,20,22,25,29,26,26,28,28,28,25,26,25,26,28,35,28,24,21,25,27,27,29,23,25,27,28,21,26,21,26,27,24,27,27,27,24,28,26,26,23,29,27,24,27,24,26,26,25,27,21,20,21,22,24,28,30,26,25,27,26,26,25,26,28,28,30,39,31,28,28,27,28,53,33,25,25,22,27,27,25,26,27,26,26,26,36,28,27,22,29,24,25,28,26,24,26,27,26,35,28,23,26,24,29,25,27,26,27,29,25,27,28,34,30,26,31,25,25,25,25,27,23,21,29,28,26,27,25,25,25,25,26,23,28,28,27,26,22,22,30,24,28,23,23,28,26,24,27,31,28,26,29,28,27,27,26,27,29,29,28,28,26,25,28,25,32,31,29,27,28,27,26,27,27,27,27,27,25,26,27,27,27,28,26,26,27,25,24,39,32,32,27,29,34,28,28,28,27,28,25,29,32,33,27,36,29,30,28,29,30,28,29,33,28,26,28,28,28,22,27,27,500,0,0,0
24,16,26,16,12,11,23,11,13,13,13,0,22,14,17,40,35,26,32,19,16,27,26,23,24,23,15,14,20,19,19,20,21,12,27,25,25,26,27,27,26,23,26,23,15,26,24,23,23,13,16,16,17,24,23,15,28,8,15,8,15,17,21,18,24,17,25,28,15,15,25,28,26,24,26,24,27,27,22,16,23,22,22,22,11,17,28,23,25,27,28,27,26,26,16,21,24,33,23,15,16,17,16,47,26,26,25,24,25,17,26,14,28,13,23,26,28,20,15,21,20,16,12,25,17,26,25,21,13,25,16,25,24,16,27,24,27,14,15,29,24,16,19,24,22,14,24,16,12,23,14,25,22,23,26,26,15,28,23,25,25,16,15,25,26,30,14,29,25,25,30,21,18,22,23,28,26,25,18,21,27,26,28,15,27,26,27,27,28,28,27,28,27,25,15,25,33,30,17,24,26,16,26,28,28,28,26,27,27,28,14,14,17,28,27,25,25,25,25,36,25,22,14,19,33,28,16,27,23,29,25,17,23,24,15,35,30,19,15,29,19,30,20,33,27,27,15,15,26,25,26,27,500,1000,0,0
15,23,23,23,32,33,35,31,32,29,30,22,1,9,21,28,29,23,25,16,18,34,29,18,26,9,17,17,33,32,33,32,32,26,29,28,29,33,26,27,15,23,15,23,16,17,24,31,25,23,24,25,24,32,14,22,35,23,22,23,23,23,21,27,29,25,24,35,23,23,31,33,34,30,34,30,35,35,23,24,30,30,30,30,21,25,26,23,32,31,32,31,30,33,24,31,32,40,28,23,23,23,24,55,33,35,32,32,19,27,31,23,33,21,30,32,21,29,23,30,16,26,24,20,28,26,33,16,24,20,25,30,17,25,13,21,30,23,23,35,16,24,26,24,16,24,17,25,22,34,23,32,32,30,34,33,22,33,31,32,32,24,24,32,33,37,29,30,29,30,38,22,25,24,32,35,33,31,25,27,35,33,32,20,30,31,33,34,32,36,34,34,31,33,25,33,30,31,24,32,32,22,34,35,30,32,33,34,33,24,23,23,21,32,23,31,30,30,31,25,30,14,22,26,35,33,23,35,30,31,31,22,31,31,24,34,33,22,22,33,23,31,28,37,33,25,22,22,31,26,33,34,500,1000,0,0
23,15,23,15,24,25,36,25,24,26,27,14,9,0,13,31,28,15,22,8,10,26,21,17,18,17,9,9,25,24,25,25,26,18,21,20,21,25,18,19,18,15,18,15,8,19,17,24,25,15,16,17,16,26,22,14,27,15,14,15,15,15,13,19,24,17,24,28,15,15,23,26,26,22,26,22,27,27,15,16,22,22,23,23,13,17,28,23,24,26,27,26,25,25,16,23,24,32,20,15,15,15,16,47,25,27,26,25,27,19,28,15,30,13,22,24,29,21,15,25,24,19,16,28,20,18,27,24,16,28,17,24,25,17,16,13,26,15,15,31,24,16,18,26,24,16,25,17,14,26,15,25,25,22,28,27,14,26,23,25,25,16,16,26,25,29,21,27,24,24,31,14,17,23,24,27,26,24,17,19,27,26,26,12,25,24,25,26,25,28,27,27,27,25,17,26,35,30,16,24,24,14,26,28,25,28,26,26,27,30,15,15,13,25,25,23,23,23,23,33,22,22,14,18,32,27,15,27,23,27,23,14,23,23,16,31,26,14,14,27,15,31,20,34,27,25,14,14,25,27,25,26,500,1000,0,0
26,18,26,16,27,28,36,28,28,26,27,17,21,13,2,37,32,23,28,16,12,30,26,21,22,21,13,12,25,25,26,26,27,18,28,29,27,29,27,28,29,26,29,28,19,30,28,26,27,16,17,19,19,26,26,18,29,15,19,17,18,19,26,20,28,21,29,32,18,18,27,30,30,29,30,29,31,31,27,19,27,28,27,28,17,19,30,25,29,23,28,27,27,29,18,23,25,33,22,17,17,18,17,47,26,30,25,28,26,18,29,17,30,18,25,30,30,22,18,28,27,21,19,29,21,26,29,25,17,27,18,28,30,22,28,25,24,18,17,32,27,19,20,28,26,18,26,18,11,27,18,28,30,26,30,30,18,30,28,30,30,21,19,27,29,33,21,31,27,27,35,25,18,25,26,31,30,29,21,23,31,29,29,18,28,27,29,29,30,29,30,29,26,25,19,29,32,27,19,28,27,20,30,30,32,28,27,29,29,30,17,16,18,30,30,28,28,28,28,34,23,25,17,19,35,30,19,31,27,32,28,20,25,26,20,36,31,20,19,30,20,32,20,34,30,30,18,18,28,29,28,29,500,1000,0,0
37,43,37,39,43,43,41,42,41,40,41,40,28,31,37,1,9,21,19,23,38,46,44,33,41,30,36,37,46,46,42,45,45,43,44,41,40,46,41,41,33,38,35,38,35,40,36,41,38,40,42,39,42,41,37,43,50,42,43,42,42,42,35,42,43,39,36,49,42,43,45,45,46,42,46,42,49,49,37,45,40,39,38,36,36,44,43,43,46,45,45,44,43,43,43,39,40,46,42,43,43,35,40,54,42,49,46,47,33,39,36,44,44,42,45,46,38,41,40,43,35,41,40,34,40,30,45,36,42,36,40,44,36,42,24,32,45,41,43,45,37,45,39,44,37,42,35,41,43,44,43,46,46,42,44,44,43,45,43,42,43,41,44,42,48,52,40,42,44,44,52,35,42,38,46,50,45,35,44,40,49,44,46,37,42,45,48,44,42,46,45,46,45,48,43,45,34,42,42,46,47,42,47,46,44,45,48,49,46,40,44,43,43,47,38,45,44,46,46,35,41,36,42,41,43,41,41,49,47,41,41,39,38,39,39,41,37,39,41,37,37,43,41,42,41,37,43,42,42,39,47,50,500,0,0,0
37,37,35,33,35,37,36,36,33,33,34,35,29,28,32,9,0,13,11,20,32,38,36,34,33,30,30,31,38,38,34,38,38,37,36,33,32,38,33,33,35,33,34,35,32,36,38,33,36,34,36,35,36,33,37,37,43,36,37,36,37,36,27,37,36,33,35,41,37,38,37,37,38,34,38,34,41,41,32,37,32,32,30,28,30,38,35,36,38,39,37,37,35,35,38,36,37,43,39,38,38,30,35,52,39,41,39,39,35,33,28,36,36,36,37,38,39,38,36,36,35,35,35,35,34,22,37,36,36,40,36,36,35,36,32,24,37,36,37,40,36,37,35,36,36,37,36,35,37,36,37,38,38,35,37,36,37,38,35,35,36,35,37,34,40,44,37,37,37,36,45,27,37,39,38,42,37,27,36,34,41,37,40,32,35,37,40,36,35,38,38,38,39,40,37,39,37,34,36,38,39,36,40,39,37,39,40,41,38,41,38,38,37,40,36,38,36,38,38,38,35,36,36,36,35,33,36,41,39,33,33,33,35,36,34,33,29,33,35,29,33,36,37,34,33,34,37,37,34,39,39,42,500,0,0,0
28,26,25,25,24,28,36,27,24,24,25,26,23,15,23,21,13,0,7,7,23,26,23,22,20,24,20,21,26,27,26,29,30,29,23,22,21,26,20,21,25,20,26,22,20,31,26,23,26,26,27,26,27,25,28,26,30,28,25,26,27,25,14,29,27,26,26,30,28,27,24,26,26,22,26,22,28,28,19,26,20,24,25,21,22,27,25,26,27,27,27,28,28,24,29,30,31,39,32,27,28,21,26,53,34,29,27,27,30,25,22,25,30,25,26,26,37,30,27,27,31,26,26,30,25,13,26,29,27,36,28,25,26,25,21,13,28,25,28,32,26,26,26,33,32,27,33,27,27,26,25,26,26,25,30,30,26,27,25,25,26,26,26,25,27,31,29,30,26,26,32,14,29,27,25,29,27,17,26,29,29,26,30,23,24,26,28,26,28,29,28,28,28,29,28,28,34,27,28,29,29,25,28,27,28,28,29,29,28,33,28,27,25,28,30,26,24,26,26,38,30,32,27,29,33,25,26,28,27,26,22,25,28,29,27,32,23,25,27,25,24,30,28,33,25,27,27,26,28,30,27,29,500,0,0,0
32,33,30,30,30,34,38,33,30,30,32,32,25,22,28,19,11,7,0,14,28,33,30,28,27,26,25,27,29,30,30,32,34,30,30,26,26,33,26,26,30,27,30,29,26,33,32,29,31,31,32,30,33,30,32,30,37,31,29,32,32,32,20,31,32,31,31,36,32,33,31,33,33,29,33,29,34,34,26,32,27,30,28,26,28,33,30,31,33,33,32,32,33,30,33,34,35,41,35,32,33,25,31,53,35,35,33,33,34,32,28,31,31,31,33,33,38,35,32,32,33,32,32,32,30,18,33,32,32,38,32,31,30,31,26,18,32,31,32,35,31,32,30,35,34,31,35,32,33,33,32,33,33,30,33,33,33,32,32,31,32,31,32,30,34,38,33,32,33,31,39,21,31,32,30,36,33,23,31,31,36,32,35,30,31,33,34,32,34,36,33,35,34,35,33,33,34,31,32,35,35,31,34,33,32,33,34,35,33,37,33,32,32,34,35,32,30,32,33,41,32,35,33,32,35,29,32,35,34,31,28,31,33,33,31,33,26,27,32,29,29,34,33,35,28,32,32,31,31,34,34,35,500,0,0,0
31,23,29,18,29,30,36,30,29,28,29,19,16,8,16,23,20,7,14,2,16,32,29,25,26,23,15,16,31,30,31,31,32,22,29,28,27,32,26,27,26,23,26,23,13,24,22,29,30,19,20,19,23,31,30,22,35,21,22,21,22,22,21,22,30,22,29,35,21,22,30,32,32,28,32,28,34,34,22,24,25,24,25,25,15,24,30,30,31,32,32,32,30,30,22,23,24,32,25,22,22,14,19,46,27,34,33,32,29,21,29,22,34,20,30,31,31,23,21,29,28,24,20,32,24,20,32,28,20,31,22,31,30,24,23,20,31,20,22,33,30,23,19,31,29,21,28,20,21,32,22,32,32,29,32,31,21,32,30,30,31,24,23,31,33,37,22,33,30,30,38,21,22,30,31,35,33,23,25,23,34,30,32,16,30,31,33,30,29,35,33,34,34,33,23,32,35,31,23,31,31,21,33,32,32,34,33,34,34,36,22,22,21,33,31,29,30,30,30,36,25,28,20,22,34,31,19,34,30,31,28,18,21,22,20,32,29,18,20,29,17,32,21,34,31,30,21,21,30,33,32,34,500,1000,0,0
